name,dyn
王照,清末民国初
夏孙桐,清末民国初
陈洵,清末民国初
程颂万,清末民国初
沈曾植,清末民国初
陈衍,清末民国初
易顺鼎,清末民国初
金武祥,清末民国初
康有为,清末民国初
梁启超,清末民国初
洪炳文,清末民国初
梁鼎芬,清末民国初
何振岱,清末民国初
朱祖谋,清末民国初
樊增祥,清末民国初
陈宝琛,清末民国初
宋育仁,清末民国初
俞明震,清末民国初
潘榕,清末民国初
王闿运,清末民国初
吴重憙,清末民国初
瞿鸿禨,清末民国初
缪荃孙,清末民国初
沈瑜庆,清末民国初
冯煦,清末民国初
叶昌炽,清末民国初
沙元炳,清末民国初
陈锐,清末民国初
胡薇元,清末民国初
吴昌绶,清末民国初
林朝崧,清末民国初
陈虔安,清末民国初
李瑞清,清末民国初
姚华,清末民国初
奭良,清末民国初
冒广生,清末民国初
张慎仪,清末民国初
陈祖绶,清末民国初
叶璧华,清末民国初
郑元昭,清末民国初
许南英,清末民国初
聂树楷,清末民国初
李炳灵,清末民国初
张一麟,清末民国初
刘泽湘,清末民国初
桂念祖,清末民国初
陈肇兴,清末民国初
费墨娟,清末民国初
郑国藩,清末民国初
李岳瑞,清末民国初
冯幵,清末民国初
杨士琦,清末民国初
饶芝祥,清末民国初
吕惠如,清末民国初
邹韬,清末民国初
王瑶京,清末民国初
吴子瑜,清末民国初
吴德功,清末民国初
林豪,清末民国初
施士洁,清末民国初
蔡惠如,清末民国初
施梅樵,清末民国初
傅锡祺,清末民国初
苏镜潭,清末民国初
谢维岩,清末民国初
王则修,清末民国初
黄赞钧,清末民国初
谢汝铨,清末民国初
谢尊五,清末民国初
章炳麟,清末民国初
陈少白,清末民国初
赵藩,清末民国初
徐杰夫,清末民国初
陈廷植,清末民国初
汪春源,清末民国初
黄鸿翔,清末民国初
叶际唐,清末民国初
赖子清,清末民国初
魏元戴,清末民国初
严既澄,清末民国初
黄摩西,清末民国初
夏勤邦,清末民国初
徐士佳,清末民国初
张荣珉,清末民国初
陈毓瑞,清末民国初
方仁渊,清末民国初
徐搢珊,清末民国初
曹倜,清末民国初
曹涌江,清末民国初
祝廷华,清末民国初
王旋吉,清末民国初
陈慕周,清末民国初
章松盦,清末民国初
何佩萱,清末民国初
巨赞,清末民国初
夏子麟,清末民国初
曹家达,清末民国初
徐骘民,清末民国初
贡桂生,清末民国初
无名氏,魏晋
嵇康,魏晋
慧远,魏晋
释慧远,魏晋
王粲,魏晋
卢谌,魏晋
左思,魏晋
石崇,魏晋
刘桢,魏晋
刘琨,魏晋
孙楚,魏晋
阮瑀,魏晋
阮籍,魏晋
应玚,魏晋
应璩,魏晋
张华,魏晋
张协,魏晋
陆云,魏晋
陆机,魏晋
陈琳,魏晋
徐干,魏晋
袁宏,魏晋
陶潜,魏晋
曹植,魏晋
曹丕,魏晋
曹摅,魏晋
曹睿,魏晋
曹操,魏晋
甄皇后,魏晋
傅玄,魏晋
潘岳,魏晋
繁钦,魏晋
乐府,魏晋
黄野人,魏晋
郭璞,魏晋
苏彦,魏晋
佚名,魏晋
司马彪,魏晋
袁山松,魏晋
邯郸淳,魏晋
左延年,魏晋
焦先,魏晋
吴质,魏晋
麋元,魏晋
杜挚,魏晋
曹彪,魏晋
曹髦,魏晋
何晏,魏晋
韦诞,魏晋
毌丘俭,魏晋
郭遐周,魏晋
郭遐叔,魏晋
阮侃,魏晋
仙道,魏晋
费祎,魏晋
薛综,魏晋
张纯,魏晋
张俨,魏晋
朱异,魏晋
诸葛恪,魏晋
华核,魏晋
周昭,魏晋
孙皓,魏晋
司马懿,魏晋
嵇喜,魏晋
江伟,魏晋
何桢,魏晋
程咸,魏晋
刘伶,魏晋
程晓,魏晋
钟琰,魏晋
李密,魏晋
应贞,魏晋
应亨,魏晋
阮种,魏晋
裴秀,魏晋
成公绥,魏晋
皇甫谧,魏晋
辛旷,魏晋
贾充,魏晋
薛莹,魏晋
棘据,魏晋
王浚,魏晋
荀勖,魏晋
王铨,魏晋
夏侯湛,魏晋
王济,魏晋
董京,魏晋
傅咸,魏晋
郭泰机,魏晋
周处,魏晋
邹湛,魏晋
曹嘉,魏晋
阎赞,魏晋
夏侯冲,魏晋
束皙,魏晋
绿珠,魏晋
翾风,魏晋
欧阳建,魏晋
何劭,魏晋
夏靖,魏晋
顾秘,魏晋
崔寔,魏晋
郑丰,魏晋
孙拯,魏晋
嵇绍,魏晋
嵇含,魏晋
牵秀,魏晋
阮修,魏晋
左芬,魏晋
张翰,魏晋
张载,魏晋
闾丘冲,魏晋
杜育,魏晋
挚虞,魏晋
王赞,魏晋
潘尼,魏晋
棘腆,魏晋
棘嵩,魏晋
郭愔,魏晋
孙机,魏晋
苏伯玉妻,魏晋
 无名氏,魏晋
干宝,魏晋
张亢,魏晋
王鉴,魏晋
荀组,魏晋
王廙,魏晋
李充,魏晋
李颙,魏晋
熊甫,魏晋
杨方,魏晋
甄述,魏晋
朱德才,魏晋
温峤,魏晋
梅陶,魏晋
庾阐,魏晋
袁乔,魏晋
谢尚,魏晋
江回,魏晋
王胡之,魏晋
郗超,魏晋
曹毗,魏晋
张望,魏晋
张翼,魏晋
许询,魏晋
王羲之,魏晋
孙绰,魏晋
孙放,魏晋
王献之,魏晋
谢安,魏晋
谢万,魏晋
孙统,魏晋
孙嗣,魏晋
郗昙,魏晋
庾友,魏晋
庾蕴,魏晋
曹茂之,魏晋
华茂,魏晋
桓伟,魏晋
袁峤之,魏晋
王玄之,魏晋
王凝之,魏晋
谢道韫,魏晋
王肃之,魏晋
王徽之,魏晋
王涣之,魏晋
王彬之,魏晋
王蕴之,魏晋
王丰之,魏晋
魏滂,魏晋
虞说,魏晋
谢绎,魏晋
徐丰之,魏晋
曹华,魏晋
司马曜,魏晋
王彪之,魏晋
习凿齿,魏晋
王珉,魏晋
谢芳姿,魏晋
赵整,魏晋
王嘉,魏晋
殷头,魏晋
王珣,魏晋
顾恺之,魏晋
苻朗,魏晋
桓玄,魏晋
殷仲文,魏晋
谢混,魏晋
刘毅,魏晋
吴隐之,魏晋
刘程之,魏晋
王乔之,魏晋
张野,魏晋
王齐之,魏晋
陶琬之,魏晋
羊徽,魏晋
湛方生,魏晋
袁光,魏晋
刘恢,魏晋
何瑾,魏晋
陆冲,魏晋
陆彦声,魏晋
张奴,魏晋
刘道民,魏晋
王升之,魏晋
包播,魏晋
卞裕,魏晋
马岌,魏晋
伏系之,魏晋
仲长敖,魏晋
殷融,魏晋
王康琚,魏晋
徐广,魏晋
王氏（刘和妻,魏晋
辛萧,魏晋
李氏,魏晋
康僧渊,魏晋
佛图澄,魏晋
支遁,魏晋
鸠罗摩什,魏晋
释道安,魏晋
庐山诸沙弥,魏晋
史宗,魏晋
帛道猷,魏晋
竺僧度,魏晋
杨苕华,魏晋
释道宝,魏晋
竺法崇,魏晋
竺昙林,魏晋
葛洪,魏晋
郭文,魏晋
羊权,魏晋
杨羲,魏晋
紫微王夫人,魏晋
云林右英夫人,魏晋
许穆,魏晋
许翙,魏晋
丁令威,魏晋
紫玉,魏晋
庐山夫人女婉,魏晋
陈阿登,魏晋
王敬伯,魏晋
刘妙容,魏晋
桓温,魏晋
庾肃之,魏晋
郭清,魏晋
孙康,魏晋
刘臻妻,魏晋
王氏,魏晋
李皓,魏晋
车?,南北朝
孔稚圭,南北朝
王台卿,南北朝
王僧孺,南北朝
王褒,南北朝
王融,南北朝
王籍,南北朝
韦鼎,南北朝
刘昶,南北朝
刘骏,南北朝
朱超,南北朝
江淹,南北朝
汤惠休,南北朝
邢邵,南北朝
阴铿,南北朝
何逊,南北朝
顾?,南北朝
吴迈,南北朝
吴迈远,南北朝
吴均,南北朝
张正见,南北朝
张融,南北朝
沈约,南北朝
陆凯,南北朝
陈叔宝,南北朝
范云,南北朝
无名氏,南北朝
柳恽,南北朝
徐勉,南北朝
徐陵,南北朝
刘邈,南北朝
陶弘景,南北朝
庾肩吾,南北朝
庾信,南北朝
曹景宗,南北朝
萧衍,南北朝
萧悫,南北朝
谢庄,南北朝
谢灵运,南北朝
谢朓,南北朝
谢惠连,南北朝
谢燮,南北朝
鲍令晖,南北朝
释宝月,南北朝
鲍照,南北朝
颜之推,南北朝
颜延之,南北朝
江总,南北朝
慧侃,南北朝
王训,南北朝
刘缓,南北朝
周弘让,南北朝
陈昭,南北朝
徐谦,南北朝
清远道士,南北朝
王叔之,南北朝
袁淑,南北朝
王俭,南北朝
张骏,南北朝
伍辑之,南北朝
卞伯玉,南北朝
谢瞻,南北朝
孔欣,南北朝
刘义隆,南北朝
宗炳,南北朝
孔宁子,南北朝
傅亮,南北朝
谢晦,南北朝
谢世基,南北朝
郑鲜之,南北朝
范泰,南北朝
王韶之,南北朝
王微,南北朝
何长瑜,南北朝
荀雍,南北朝
刘义庆,南北朝
范晔,南北朝
范广渊,南北朝
孔法生,南北朝
何承天,南北朝
何承嘉,南北朝
刘铄,南北朝
丘渊之,南北朝
荀昶,南北朝
何偃,南北朝
王僧达,南北朝
颜峻,南北朝
颜测,南北朝
江智渊,南北朝
庾徽之,南北朝
颜师伯,南北朝
沈庆之,南北朝
刘义恭,南北朝
王素,南北朝
徐爰,南北朝
袁粲,南北朝
刘俣,南北朝
卞彬,南北朝
任豫,南北朝
袁伯文,南北朝
湛挺,南北朝
贺道庆,南北朝
王歆之,南北朝
萧璟,南北朝
渔父,南北朝
殷淡,南北朝
萧道成,南北朝
萧赜,南北朝
王延,南北朝
王僧佑,南北朝
萧长懋,南北朝
顾欢,南北朝
萧子良,南北朝
萧子隆,南北朝
丘巨源,南北朝
王仲雄,南北朝
徐孝嗣,南北朝
虞炎,南北朝
王思远,南北朝
王寂,南北朝
阮彦,南北朝
王僧令,南北朝
袁浮丘,南北朝
陆慧晓,南北朝
陆厥,南北朝
刘绘,南北朝
刘?,南北朝
袁彖,南北朝
虞通之,南北朝
许瑶之,南北朝
朱硕仙,南北朝
石道慧,南北朝
檀秀才,南北朝
江奂,南北朝
陶功曹,南北朝
朱孝廉,南北朝
王秀之,南北朝
江孝嗣,南北朝
王常侍,南北朝
王晏,南北朝
韩兰英,南北朝
谢超宗,南北朝
褚渊,南北朝
王揖,南北朝
高爽,南北朝
宗夬,南北朝
萧钧,南北朝
王暕,南北朝
任昉,南北朝
丘迟,南北朝
虞羲,南北朝
虞骞,南北朝
刘霁,南北朝
刘苞,南北朝
柳镇,南北朝
范缜,南北朝
何寘南,南北朝
沈繇,南北朝
孙擢,南北朝
江革,南北朝
朱记室,南北朝
周兴嗣,南北朝
刘峻,南北朝
萧洽,南北朝
徐悱,南北朝
周舍,南北朝
陆倕,南北朝
陆罩,南北朝
纪少瑜,南北朝
张率,南北朝
到洽,南北朝
傅昭,南北朝
裴子野,南北朝
萧统,南北朝
殷芸,南北朝
萧琛,南北朝
萧巡,南北朝
何胤,南北朝
何思澄,南北朝
王锡,南北朝
刘遵,南北朝
王规,南北朝
萧子显,南北朝
谢微,南北朝
萧瑱,南北朝
刘孝绰,南北朝
刘孺,南北朝
刘显,南北朝
陆云公,南北朝
刘之遴,南北朝
到溉,南北朝
谢举,南北朝
萧推,南北朝
庾仲容,南北朝
褚翔,南北朝
杨皦,南北朝
吴孜,南北朝
朱异,南北朝
张嵊,南北朝
张缵,南北朝
殷钧,南北朝
王伟,南北朝
刘孝威,南北朝
萧子云,南北朝
萧子晖,南北朝
何敬容,南北朝
伏挺,南北朝
江从简,南北朝
徐摛,南北朝
刘孝仪,南北朝
萧子范,南北朝
萧纪,南北朝
萧纲,南北朝
王筠,南北朝
褚沄,南北朝
鲍至,南北朝
鲍几,南北朝
鲍泉,南北朝
萧纶,南北朝
徐怦,南北朝
萧绎,南北朝
萧正德,南北朝
刘孝胜,南北朝
刘孝先,南北朝
徐君茜,南北朝
徐防,南北朝
王泰,南北朝
萧晔,南北朝
荀济,南北朝
江洪,南北朝
江禄,南北朝
孔焘,南北朝
孔翁归,南北朝
何子朗,南北朝
沈旋,南北朝
沈趍,南北朝
费昶,南北朝
王囧,南北朝
戴皓,南北朝
阮研,南北朝
庾丹,南北朝
谢瑱,南北朝
陆琏,南北朝
邓铿,南北朝
萧察,南北朝
闻人倩,南北朝
沈君攸,南北朝
施荣泰,南北朝
高允生,南北朝
王循,南北朝
房篆,南北朝
裴宪伯,南北朝
姚翻,南北朝
李镜远,南北朝
鲍子卿,南北朝
王枢,南北朝
汤僧济,南北朝
顾煊,南北朝
王脩已,南北朝
王孝礼,南北朝
范筠,南北朝
甄固,南北朝
王环,南北朝
江伯瑶,南北朝
刘泓,南北朝
王湜,南北朝
李孝胜,南北朝
谈士云,南北朝
明少遐,南北朝
刘憺,南北朝
贺文标,南北朝
萧若静,南北朝
萧欣,南北朝
王金珠,南北朝
包明月,南北朝
王氏（卫敬瑜妻,南北朝
刘氏（王淑英妻,南北朝
刘令娴,南北朝
沈满愿,南北朝
庾成师,南北朝
释宝志,南北朝
释智藏,南北朝
释惠令,南北朝
释法云,南北朝
桓法闿,南北朝
周子良,南北朝
吴兴妖神,南北朝
韩延之,南北朝
宗钦,南北朝
段承根,南北朝
游雅,南北朝
元宏,南北朝
高允,南北朝
王肃,南北朝
元协,南北朝
李谧,南北朝
郑道昭,南北朝
阳固,南北朝
元诩,南北朝
元子攸,南北朝
元恭,南北朝
崔鸿,南北朝
冯元兴,南北朝
萧综,南北朝
崔巨伦,南北朝
董绍,南北朝
卢元明,南北朝
李骞,南北朝
祖莹,南北朝
鹿悆,南北朝
李谐,南北朝
常景,南北朝
褚緭,南北朝
温子升,南北朝
胡叟,南北朝
元晖业,南北朝
元熙,南北朝
高孝纬,南北朝
王容,南北朝
王德,南北朝
周南,南北朝
祖叔辨,南北朝
袁曜,南北朝
张斐裳,南北朝
宋道玙,南北朝
冯氏（文明太后,南北朝
谢氏,南北朝
陈留长公主,南北朝
高昂,南北朝
萧祗,南北朝
萧放,南北朝
陆法和,南北朝
卢询祖,南北朝
裴让之,南北朝
裴讷之,南北朝
郑公超,南北朝
杨训,南北朝
袁奭,南北朝
荀仲举,南北朝
魏收,南北朝
刘逖,南北朝
祖珽,南北朝
高延宗,南北朝
萧毂,南北朝
马元熙,南北朝
阳休之,南北朝
赵儒宗,南北朝
甄彬,南北朝
杨子华,南北朝
冯淑妃,南北朝
崔氏,南北朝
惠化尼,南北朝
吴猛,南北朝
褚士达,南北朝
宇文毓,南北朝
李昶,南北朝
高琳,南北朝
宗懔,南北朝
宗羁,南北朝
萧总,南北朝
杨文佑,南北朝
宇文赟,南北朝
宇文招,南北朝
宇文逌,南北朝
王晞,南北朝
孟康,南北朝
释亡名,南北朝
无名法师,南北朝
尚法师,南北朝
沈炯,南北朝
陆山才,南北朝
周弘正,南北朝
周弘直,南北朝
陆玠,南北朝
顾野王,南北朝
徐伯阳,南北朝
沈后,南北朝
傅縡,南北朝
孔奂,南北朝
孔鱼,南北朝
陆琼,南北朝
陆瑜,南北朝
陈暄,南北朝
祖孙登,南北朝
刘删,南北朝
岑之敬,南北朝
褚玠,南北朝
萧诠,南北朝
贺彻,南北朝
贺循,南北朝
李爽,南北朝
萧贲,南北朝
何胥,南北朝
阳缙,南北朝
阳慎,南北朝
蔡凝,南北朝
蔡君知,南北朝
阮卓,南北朝
徐孝克,南北朝
潘徽,南北朝
徐德言,南北朝
乐昌公主,南北朝
何处士,南北朝
苏子卿,南北朝
贺力牧,南北朝
伏知道,南北朝
毛处约,南北朝
陆系,南北朝
独孤嗣宗,南北朝
李燮,南北朝
江晖,南北朝
何楫,南北朝
萧淳,南北朝
孔仲智,南北朝
萧有,南北朝
徐湛,南北朝
吴尚野,南北朝
吴思玄,南北朝
殷谋,南北朝
何曼才,南北朝
许倪,南北朝
萧驎,南北朝
萧琳,南北朝
孔范,南北朝
王瑳,南北朝
陈少女,南北朝
释惠标,南北朝
昙瑗,南北朝
释洪偃,南北朝
释智恺,南北朝
高丽定法师,南北朝
刘裕,南北朝
梁神荐,南北朝
张畅,南北朝
袁克文,清末近现代初
黄节,清末近现代初
陈曾寿,清末近现代初
王国维,清末近现代初
宁调元,清末近现代初
苏曼殊,清末近现代初
陈三立,清末近现代初
郑孝胥,清末近现代初
柳亚子,清末近现代初
赵熙,清末近现代初
于右任,清末近现代初
陈寅恪,清末近现代初
沈尹默,清末近现代初
夏曾佑,清末近现代初
朱青长,清末近现代初
杨圻,清末近现代初
李宣龚,清末近现代初
吕碧城,清末近现代初
王易,清末近现代初
梁启勋,清末近现代初
潘飞声,清末近现代初
高旭,清末近现代初
郭则沄,清末近现代初
汪东,清末近现代初
周岸登,清末近现代初
吴湖帆,清末近现代初
陈方恪,清末近现代初
高燮,清末近现代初
徐树铮,清末近现代初
傅熊湘,清末近现代初
胡汉民,清末近现代初
杨度,清末近现代初
刘师培,清末近现代初
叶恭绰,清末近现代初
张尔田,清末近现代初
俞陛云,清末近现代初
章钰,清末近现代初
陈训正,清末近现代初
金兆蕃,清末近现代初
刘永济,清末近现代初
陈融,清末近现代初
